purchase_time,total
2017-11-24,1166
2017-11-25,499
2017-11-27,400
2017-11-26,387
2017-11-28,376
2018-05-07,369
2018-08-06,368
2018-05-14,363
2018-08-07,361
2018-05-16,356
2018-05-15,351
2018-05-09,341
2017-12-04,330
2018-05-08,327
2017-11-29,318
2018-08-16,316
2018-07-31,316
2018-08-08,314
2018-08-14,312
2018-08-03,312
2018-02-28,311
2018-01-22,309
2018-08-01,308
2018-07-18,305
2018-01-15,305
2018-05-03,304
2018-07-23,304
2018-03-19,301
2018-01-16,301
2018-08-02,298
2018-02-27,296
2018-03-20,295
2018-05-02,295
2018-06-11,294
2018-02-26,293
2018-01-08,292
2018-04-19,290
2018-02-14,290
2018-08-13,287
2018-03-15,286
2018-02-20,285
2018-04-23,285
2018-03-21,284
2018-08-15,283
2018-08-09,283
2018-04-25,283
2018-01-17,282
2018-04-18,280
2018-07-30,280
2018-04-02,280
2018-04-16,279
2018-05-10,278
2017-12-05,277
2018-01-10,277
2018-02-15,276
2017-11-23,275
2018-08-05,274
2018-02-22,274
2018-04-11,274
2017-12-01,274
2017-12-06,273
2018-03-01,272
2018-03-06,271
2018-07-24,270
2018-03-26,270
2018-04-24,270
2018-07-25,267
2017-12-11,266
2018-04-05,266
2018-02-06,266
2018-02-05,266
2018-03-02,265
2018-05-04,265
2018-04-17,264
2017-11-30,264
2018-01-11,264
2018-02-21,261
2018-01-23,260
2018-03-05,259
2018-03-07,258
2017-12-12,258
2018-06-13,258
2018-04-04,257
2018-01-04,255
2018-04-12,255
2018-02-19,255
2018-07-04,254
2018-05-01,254
2018-08-17,254
2018-03-22,254
2018-04-26,253
2018-04-09,253
2018-07-19,253
2018-08-10,252
2018-01-31,252
2018-03-16,252
2018-08-20,252
2018-01-30,251
2018-01-09,251
2018-07-20,247
2018-05-11,246
2018-06-12,246
2018-04-03,246
2018-07-26,245
2018-06-18,245
2018-03-27,244
2018-07-16,243
2018-02-07,243
2018-06-28,242
2018-01-29,242
2018-08-04,242
2018-04-27,241
2018-01-24,240
2018-06-26,240
2018-04-30,240
2018-08-21,239
2018-06-25,239
2018-01-12,239
2018-01-18,238
2018-02-25,236
2018-05-18,236
2018-02-23,235
2018-03-04,235
2018-06-21,234
2018-03-08,233
2018-03-12,232
2018-01-14,232
2018-01-19,232
2017-12-03,231
2018-01-25,230
2018-06-19,229
2018-02-01,228
2018-06-06,227
2018-03-13,226
2017-12-07,226
2018-05-17,226
2017-11-20,225
2018-06-04,225
2018-01-26,225
2018-02-08,225
2017-11-21,224
2017-11-16,224
2018-06-07,223
2018-04-15,223
2018-01-03,221
2018-02-13,220
2018-07-17,219
2018-03-23,219
2018-03-11,218
2018-03-28,218
2017-12-13,217
2018-01-13,216
2018-06-20,216
2018-01-06,215
2018-07-03,215
2017-12-08,215
2018-03-18,215
2018-02-12,214
2017-12-02,214
2018-06-27,214
2018-07-22,214
2018-02-16,212
2018-06-14,212
2018-01-05,209
2018-03-03,209
2018-05-06,209
2018-02-09,209
2018-02-02,208
2017-12-18,208
2018-04-01,207
2018-05-13,206
2018-05-12,204
2018-08-19,204
2017-09-13,204
2018-03-09,203
2017-09-12,203
2018-01-02,203
2018-04-10,201
2018-05-21,201
2017-11-13,200
2018-02-04,200
2018-04-22,200
2018-02-18,200
2018-02-17,199
2018-04-13,199
2017-12-14,199
2018-06-08,198
2018-03-14,198
2017-10-03,198
2018-06-24,198
2018-06-05,197
2018-08-12,197
2017-11-22,197
2018-05-22,197
2017-10-17,197
2018-08-18,196
2018-04-20,196
2018-05-05,195
2018-01-07,195
2018-07-05,194
2017-10-16,194
2017-08-15,193
2018-07-02,193
2018-01-21,193
2018-03-29,193
2017-12-15,192
2018-03-10,191
2018-06-03,191
2018-06-10,191
2018-03-25,190
2017-07-18,190
2018-02-03,190
2017-10-09,189
2018-07-27,189
2017-11-17,189
2018-02-24,189
2018-04-06,188
2017-12-10,187
2017-11-06,187
2018-08-22,186
2017-11-09,186
2018-08-11,186
2017-11-14,185
2018-04-08,185
2018-07-21,185
2018-06-15,185
2018-07-29,184
2018-06-01,184
2017-09-18,183
2018-01-20,183
2017-11-15,182
2018-03-17,180
2017-09-26,179
2018-06-22,179
2017-10-10,178
2017-08-30,177
2017-08-21,177
2017-09-11,177
2017-10-18,176
2017-10-19,175
2018-07-28,175
2018-02-10,175
2017-12-19,174
2017-11-08,173
2018-06-29,173
2017-11-12,172
2018-06-09,172
2017-12-20,171
2017-08-16,170
2018-04-29,170
2018-02-11,169
2018-04-28,168
2017-12-26,168
2018-07-13,167
2018-03-31,167
2017-12-27,166
2017-09-14,166
2017-08-01,165
2018-03-30,165
